,address,charterSchools,districtRating,elementarySchools,fax,gradeRange,highSchools,middleSchools,name,ncesCode,phone,publicSchools,totalSchools,website
0,"2930 Gay Avenue, 
San Jose, CA  95127-2322",5,5,20,(408) 928-6416,PK-8,0,13,Alum Rock Union Elementary School District,0602310,(408) 928-6800,25,30,www.arusd.org
1,"1376 Piedmont Road, 
San Jose, CA  95132-2427",0,8,11,(408) 254-1802,PK-8,0,4,Berryessa Union Elementary,0604800,(408) 923-1880,14,14,www.berryessa.k12.ca.us
2,"4115 Jacksol Drive, 
San Jose, CA  95124-3312",5,8,5,(408) 377-5944,K-8,0,2,Cambrian,0607140,(408) 377-2103,1,6,www.cambriansd.org
3,"3235 Union Avenue, 
San Jose, CA  95124-2009",0,8,0,(408) 558-3006,9-12,7,0,Campbell Union High,0607230,(408) 371-0960,7,7,www.cuhsd.org
4,"830 North Capitol Avenue, 
San Jose, CA  95133-1316",10,6,2,(408) 347-5045,K-12,26,2,East Side Union High,0611820,(408) 347-5000,16,26,www.esuhsd.org
5,"3188 Quimby Road, 
San Jose, CA  95148-3022",0,7,15,(408) 274-3894,K-8,0,3,Evergreen Elementary,0613140,(408) 270-6800,18,18,www.eesd.org
6,"645 Wool Creek Drive, 
San Jose, CA  95112-2617",7,6,19,(408) 283-6022,K-8,0,10,Franklin-Mckinley Elementary School District,0614370,(408) 283-6006,16,23,www.fmsd.org
7,"4 Wabash Avenue, 
San Jose, CA  95128-1931",0,4,1,(408) 295-3168,K-8,0,1,Luther Burbank,0623130,(408) 295-2450,1,1,www.lbsd.k12.ca.us
8,"4711 Campbell Avenue, 
San Jose, CA  95130-1709",0,8,6,(408) 874-2968,6-8,0,2,Moreland School District,0625770,(408) 874-2901,7,7,www.moreland.org
9,"3434 Marten Avenue, 
San Jose, CA  95148-1300",1,5,4,(408) 223-3715,K-8,0,2,Mt. Pleasant Elementary,0626400,(408) 223-3710,4,5,www.mpesd.org
10,"6578 Santa Teresa Boulevard, 
San Jose, CA  95119-1204",0,6,17,(408) 227-2719,K-8,0,7,Oak Grove Elementary School District,0627810,(408) 227-8300,21,21,www.ogsd.net
11,"921 Fox Lane, 
San Jose, CA  95131-1602",0,7,1,(408) 944-0394,K-8,0,1,Orchard Elementary,0628680,(408) 944-0397,1,1,www.orchardsd.org
12,"855 Lenzen Avenue, 
San Jose, CA  95126-2736",5,6,27,(408) 535-2362,PK-12,18,13,San Jose Unified School District,0634590,(408) 535-6090,50,55,www.sjusd.org
13,"5175 Union Avenue, 
San Jose, CA  95124-5434",0,10,6,(408) 559-1670,K-8,0,2,Union Elementary,0640320,(408) 377-8010,8,8,www.unionsd.org
14,"1290 Ridder Park Drive, 
San Jose, CA  95131-2304",22,7,13,,K-12,10,15,Santa Clara County Office Of Education,0691035,(408) 453-6500,3,25,www.sccoe.org
15,"760 Hillsdale Avenue, 
San Jose, CA  95136",0,,0,,11-12,1,0,Metro Education,0600135,(408) 723-6414,1,1,
