,address,city,district,districtId,districtNCESId,enrollment,fax,gradeRange,gsId,gsRating,lat,lon,name,ncesId,overviewLink,parentRating,phone,ratingsLink,reviewsLink,schoolStatsLink,state,type,website
0,"660 Sinclair Drive, 
San Jose, CA  95116",San Jose,,,,221,,9-12,27108,4,37.349841999999995,-121.84126,Ace Charter High,061182013023,https://www.greatschools.org/california/san-jose/27108-Ace-Charter-High/?s_cid=gsapi,,(408) 251-1362,https://www.greatschools.org/school/rating.page?state=CA&id=27108&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=27108&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/27108,CA,charter,
1,"625 South Sunset Avenue, 
San Jose, CA  95116",San Jose,Santa Clara County Office Of Education,1116,0691035,404,(408) 729-3952,5-8,24681,2,37.347088,-121.84498,Ace Charter School,069103512198,https://www.greatschools.org/california/san-jose/24681-Ace-Charter-School/?s_cid=gsapi,5,(408) 729-3920,https://www.greatschools.org/school/rating.page?state=CA&id=24681&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=24681&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/24681,CA,charter,www.acecharter.org
2,"1665 Santee Drive, 
San Jose, CA  95122",San Jose,Franklin-Mckinley Elementary School District,634,0614370,149,,5-8,32222,2,37.328014,-121.84532,Ace Franklin Mckinley,061437013740,https://www.greatschools.org/california/san-jose/32222-Ace-Franklin-Mckinley/?s_cid=gsapi,,(408) 729-3420,https://www.greatschools.org/school/rating.page?state=CA&id=32222&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=32222&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/32222,CA,charter,www.acecharter.org
3,"110 East Hedding Street, 
San Jose, CA  95112",San Jose,San Jose Unified School District,655,0634590,,,5-8,32226,4,37.35427,-121.90083999999999,Ace Inspire Academy,,https://www.greatschools.org/california/san-jose/32226-Ace-Inspire-Academy/?s_cid=gsapi,,(408) 396-9726,https://www.greatschools.org/school/rating.page?state=CA&id=32226&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=32226&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/32226,CA,charter,www.acecharter.org
4,"1601 Cunningham Avenue, 
San Jose, CA  95122",San Jose,Alum Rock Union Elementary School District,625,0602310,468,(408) 780-0831,6-8,27106,5,37.326570000000004,-121.83506000000001,Alpha: Blanca Alvarado Middle School,060231012989,https://www.greatschools.org/california/san-jose/27106-Alpha:-Blanca-Alvarado-Middle-School/?s_cid=gsapi,,(408) 780-0831,https://www.greatschools.org/school/rating.page?state=CA&id=27106&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=27106&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/27106,CA,charter,www.alphapublicschools.org
5,"1601 Cunningham Avenue, 
San Jose, CA  95122",San Jose,Santa Clara County Office Of Education,1116,0691035,168,,6-8,31196,4,37.326570000000004,-121.83506000000001,Alpha: Jose Hernandez Middle,069103513757,https://www.greatschools.org/california/san-jose/31196-Alpha:-Jose-Hernandez-Middle/?s_cid=gsapi,5,(408) 780-0831,https://www.greatschools.org/school/rating.page?state=CA&id=31196&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31196&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/31196,CA,charter,www.alphapublicschools.org
6,"2475 Van Winkle Lane, 
San Jose, CA  95116",San Jose,Alum Rock Union Elementary School District,625,0602310,427,(408) 928-7651,K-8,5374,3,37.349926,-121.83138000000001,Aptitud Community Academy At Goss,060231000106,https://www.greatschools.org/california/san-jose/5374-Aptitud-Community-Academy-At-Goss/?s_cid=gsapi,4,(408) 928-7656,https://www.greatschools.org/school/rating.page?state=CA&id=5374&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5374&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5374,CA,charter,www.arusd.org/gosses
7,"1970 Willow Street, 
San Jose, CA  95125",San Jose,Campbell Union,629,0607200,554,(408) 341-7110,K-5,5410,3,37.298912,-121.92181000000001,Blackford Elementary School,060720000657,https://www.greatschools.org/california/san-jose/5410-Blackford-Elementary-School/?s_cid=gsapi,3,(408) 978-4675,https://www.greatschools.org/school/rating.page?state=CA&id=5410&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5410&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5410,CA,charter,http://blackford.campbellusd.org/
8,"1702 Mclaughlin Avenue, 
San Jose, CA  95122",San Jose,Franklin-Mckinley Elementary School District,634,0614370,597,(408) 283-6419,7-8,5483,3,37.32544,-121.84648999999999,Bridges Academy,061437001643,https://www.greatschools.org/california/san-jose/5483-Bridges-Academy/?s_cid=gsapi,4,(408) 283-6400,https://www.greatschools.org/school/rating.page?state=CA&id=5483&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5483&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5483,CA,charter,http://www.fmsd.org/Bridges/
9,"1598 Lucretia Avenue, 
San Jose, CA  95122",San Jose,Franklin-Mckinley Elementary School District,634,0614370,412,,K-6,25268,8,37.32563,-121.853035,Cornerstone Academy Preparatory School,061437012639,https://www.greatschools.org/california/san-jose/25268-Cornerstone-Academy-Preparatory-School/?s_cid=gsapi,5,(408) 361-3829,https://www.greatschools.org/school/rating.page?state=CA&id=25268&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=25268&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/25268,CA,charter,www.cornerstoneacademysj.org
10,"762 Sunset Glen Drive, 
San Jose, CA  95123",San Jose,Santa Clara County Office Of Education,1116,0691035,430,,K-8,27183,6,37.236156,-121.84843000000001,Discovery Charter 2,069103513640,https://www.greatschools.org/california/san-jose/27183-Discovery-Charter-2/?s_cid=gsapi,4,(408) 243-9800,https://www.greatschools.org/school/rating.page?state=CA&id=27183&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=27183&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/27183,CA,charter,www.discoveryk8.org
