,address,city,district,districtId,districtNCESId,enrollment,fax,gradeRange,gsId,gsRating,lat,lon,name,ncesId,overviewLink,parentRating,phone,ratingsLink,reviewsLink,schoolStatsLink,state,type,website
0,"1290 Bal Harbor Drive, 
San Jose, CA  95122",San Jose,Alum Rock Union Elementary School District,625,0602310,500,(408) 928-7401,K-5,5371,5,37.339794,-121.83675,A. J. Dorsa Elementary School,060231000103,https://www.greatschools.org/california/san-jose/5371-A.-J.-Dorsa-Elementary-School/?s_cid=gsapi,4,(408) 928-7400,https://www.greatschools.org/school/rating.page?state=CA&id=5371&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5371&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5371,CA,public,
1,"555 Dana Avenue, 
San Jose, CA  95126",San Jose,San Jose Unified School District,655,0634590,1851,(408) 535-2352,9-12,5675,7,37.329227,-121.92386,Abraham Lincoln High School,063459005696,https://www.greatschools.org/california/san-jose/5675-Abraham-Lincoln-High-School/?s_cid=gsapi,5,(408) 535-6300,https://www.greatschools.org/school/rating.page?state=CA&id=5675&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5675&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5675,CA,public,http://www.lincoln.sjusd.k12.ca.us
2,"2999 Ridgemont Drive, 
San Jose, CA  95127",San Jose,Alum Rock Union Elementary School District,625,0602310,562,(408) 928-1901,K-8,14207,6,37.344543,-121.81269,Adelante Dual Language Academy,060231011793,https://www.greatschools.org/california/san-jose/14207-Adelante-Dual-Language-Academy/?s_cid=gsapi,4,(408) 928-1900,https://www.greatschools.org/school/rating.page?state=CA&id=14207&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=14207&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/14207,CA,public,http://www.arusd.org/adelante
3,"820 Steinbeck Drive, 
San Jose, CA  95123",San Jose,San Jose Unified School District,655,0634590,763,(408) 535-2329,K-8,5648,4,37.247303,-121.85641,Allen at Steinbeck School,063459005697,https://www.greatschools.org/california/san-jose/5648-Allen-At-Steinbeck-School/?s_cid=gsapi,4,(408) 535-6205,https://www.greatschools.org/school/rating.page?state=CA&id=5648&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5648&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5648,CA,public,http://www.allenatsteinbeck.org/
4,"1295 Dentwood Drive, 
San Jose, CA  95118",San Jose,San Jose Unified School District,655,0634590,389,(408) 535-2328,K-5,5649,4,37.251823,-121.88457,Almaden Elementary School,063459005698,https://www.greatschools.org/california/san-jose/5649-Almaden-Elementary-School/?s_cid=gsapi,4,(408) 535-6207,https://www.greatschools.org/school/rating.page?state=CA&id=5649&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5649&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5649,CA,public,http://www.almadenelementary.org/home
5,"5800 Calpine Drive, 
San Jose, CA  95123",San Jose,Oak Grove Elementary School District,650,0627810,453,(408) 224-6964,K-6,5582,5,37.24673,-121.81197,Anderson (Alex) Elementary School,062781009413,https://www.greatschools.org/california/san-jose/5582-Anderson-(Alex)-Elementary-School/?s_cid=gsapi,4,(408) 225-6556,https://www.greatschools.org/school/rating.page?state=CA&id=5582&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5582&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5582,CA,public,http://www.davis.ogsd.k12.ca.us/anderson
6,"3200 Senter Road, 
San Jose, CA  95111",San Jose,East Side Union High,632,0611820,2015,(408) 347-4115,9-12,5455,5,37.292698,-121.8306,Andrew P. Hill High School,061182001301,https://www.greatschools.org/california/san-jose/5455-Andrew-P.-Hill-High-School/?s_cid=gsapi,4,(408) 347-4100,https://www.greatschools.org/school/rating.page?state=CA&id=5455&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5455&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5455,CA,public,
7,"333 North 33rd Street, 
San Jose, CA  95133",San Jose,San Jose Unified School District,655,0634590,462,(408) 535-6334,K-5,5661,3,37.35661,-121.86444,Anne Darling Elementary School,063459005699,https://www.greatschools.org/california/san-jose/5661-Anne-Darling-Elementary-School/?s_cid=gsapi,3,(408) 535-6209,https://www.greatschools.org/school/rating.page?state=CA&id=5661&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5661&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5661,CA,public,http://sjusd.org/darling/
8,"2851 Gay Avenue, 
San Jose, CA  95127",San Jose,Alum Rock Union Elementary School District,625,0602310,628,(408) 928-8901,K-5,17559,4,37.368736,-121.83567,Anthony P. Russo Academy,060231012063,https://www.greatschools.org/california/san-jose/17559-Anthony-P.-Russo-Academy/?s_cid=gsapi,4,(408) 928-8900,https://www.greatschools.org/school/rating.page?state=CA&id=17559&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=17559&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/17559,CA,public,http://www.arusd.org
9,"1944 Flint Avenue, 
San Jose, CA  95148",San Jose,Mt. Pleasant Elementary,647,0626400,590,(408) 223-6959,6-8,5569,3,37.347134,-121.80145,August Boeger Middle School,062640003987,https://www.greatschools.org/california/san-jose/5569-August-Boeger-Middle-School/?s_cid=gsapi,3,(408) 223-3770,https://www.greatschools.org/school/rating.page?state=CA&id=5569&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5569&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5569,CA,public,http://www.asd.com
