,RegionID,City,State,Metro,CountyName,SizeRank,2007-01,2008-01,2009-01,2010-01,2011-01,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,LAT,LNG,Apperciation,Scale,Color
256,95123,San Jose,CA,San Jose,Santa Clara,257,668200,613200,510100,480300,477100,437100,533900,627900,687300,750400,797900,37.244238,-121.831604,82.54404027,15,yellow
352,95035,Milpitas,CA,San Jose,Santa Clara,353,654200,630600,531800,494900,498000,481700,560100,656800,729900,818800,875400,37.444349,-121.868859,81.73136807,15,yellow
379,95051,Santa Clara,CA,San Jose,Santa Clara,380,702400,677300,595000,594900,588400,566100,681400,762400,890000,1032900,1105900,37.34864,-121.984373,95.35417771,19,yellow
404,95014,Cupertino,CA,San Jose,Santa Clara,405,1042400,1124300,1050100,986800,1031500,1018500,1241200,1403200,1616900,1778100,1817400,37.306491,-122.08064,78.43888071,14,red
457,94087,Sunnyvale,CA,San Jose,Santa Clara,458,924600,977000,919000,888300,899300,896900,1042600,1249200,1470200,1646200,1700800,37.351529,-122.036959,89.63095105,17,yellow
470,95125,San Jose,CA,San Jose,Santa Clara,471,816300,804400,723500,692900,689700,666600,783300,859900,959700,1070900,1132800,37.295056,-121.89144,69.9369937,11,red
550,95112,San Jose,CA,San Jose,Santa Clara,551,597600,564700,454200,388600,387200,344700,422700,516400,568300,644900,688700,37.344482,-121.883535,99.79692486,20,yellow
587,94086,Sunnyvale,CA,San Jose,Santa Clara,588,756600,752100,698800,672900,683800,682800,836600,890800,1130700,1329900,1377300,37.371647,-122.023134,101.7135325,20,yellow
614,95008,Campbell,CA,San Jose,Santa Clara,615,741900,734400,665500,648700,625800,620300,728000,798600,945800,1045400,1103200,37.279173,-121.95534,77.8494277,13,red
877,95020,Gilroy,CA,San Jose,Santa Clara,878,722100,661900,469400,407500,403300,391300,448300,533800,590600,636500,672400,37.018419,-121.554249,71.83746486,11,red
1165,95124,San Jose,CA,San Jose,Santa Clara,1166,752000,733800,663000,626000,627400,619600,730900,816500,906500,1067500,1107100,37.256765,-121.922762,78.67979342,14,red
1468,95037,Morgan Hill,CA,San Jose,Santa Clara,1469,827900,782000,652200,613300,592500,546200,626900,714800,763000,818000,874900,37.174063,-121.598747,60.17942146,7,red
1522,95127,San Jose,CA,San Jose,Santa Clara,1523,637500,577400,439500,351700,346600,345900,412700,476800,546300,610500,650600,37.371091,-121.800752,88.08904308,17,yellow
1582,95136,San Jose,CA,San Jose,Santa Clara,1583,703700,650900,543900,504900,503600,470800,553400,641100,707100,775100,813800,37.269128,-121.850992,72.85471538,12,red
1632,95111,San Jose,CA,San Jose,Santa Clara,1633,624300,572300,416700,339600,342300,338700,402900,477000,539700,582500,637900,37.283111,-121.826245,88.33776203,17,yellow
1711,95050,Santa Clara,CA,San Jose,Santa Clara,1712,678700,650900,573500,550500,539700,523400,624800,707500,791800,938200,991500,37.351157,-121.952295,89.43446695,17,yellow
1787,95126,San Jose,CA,San Jose,Santa Clara,1788,637300,612100,531500,492700,491300,475000,557000,623900,683900,777700,830100,37.326791,-121.916745,74.75789474,12,red
1837,94040,Mountain View,CA,San Jose,Santa Clara,1838,1003200,1042600,965800,921200,959400,983300,1254600,1430600,1605800,1779800,1892200,37.380566,-122.085293,92.43364182,18,yellow
1916,94303,Palo Alto,CA,San Jose,Santa Clara,1917,895800,964500,862200,827000,815300,850600,1025200,1201300,1452700,1639000,1700700,37.45788,-122.115158,99.94121796,20,yellow
2001,95129,San Jose,CA,San Jose,Santa Clara,2002,873900,921800,862900,819600,868700,861000,997700,1160000,1354700,1519100,1544700,37.305742,-122.000927,79.40766551,14,red
2136,95128,San Jose,CA,San Jose,Santa Clara,2137,679300,644100,571000,531900,525100,500500,621100,695900,741300,854900,903400,37.315977,-121.936319,80.4995005,14,red
2346,95134,San Jose,CA,San Jose,Santa Clara,2348,593300,554400,490200,455000,461000,416200,532300,581400,620600,761500,779100,37.426377,-121.950977,87.1936569,16,yellow
2511,94043,Mountain View,CA,San Jose,Santa Clara,2513,698000,701500,643000,608400,590600,600300,741800,835600,979300,1206100,1274000,37.414028,-122.070679,112.2272197,23,green
2537,95116,San Jose,CA,San Jose,Santa Clara,2539,581300,516400,376500,305000,307000,293700,365500,435400,490300,541800,582100,37.350421,-121.852585,98.19543752,19,yellow
