SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
040,06,000,00000,00000,00000,0,A,California,California,37253956,37254522,37332685,37676861,38011074,38335203,38680810,38993940,39250017
162,06,000,00296,00000,00000,0,A,Adelanto city,California,31765,31760,31672,31895,31145,31287,32626,33077,33391
162,06,000,00394,00000,00000,0,A,Agoura Hills city,California,20330,20330,20337,20494,20576,20633,20700,20795,20745
162,06,000,00562,00000,00000,0,A,Alameda city,California,73812,73812,73964,74730,75716,76556,77562,78363,78906
162,06,000,00674,00000,00000,0,A,Albany city,California,18539,18543,18575,18763,19008,19236,19477,19669,19688
162,06,000,00884,00000,00000,0,A,Alhambra city,California,83089,83096,83168,83685,84265,84521,85003,85058,85474
162,06,000,00947,00000,00000,0,A,Aliso Viejo city,California,47823,48052,48200,48913,49518,50036,50043,49985,51424
162,06,000,01444,00000,00000,0,A,Alturas city,California,2827,2827,2831,2765,2708,2634,2615,2585,2537
162,06,000,01514,00000,00000,0,A,Amador City city,California,185,185,185,185,184,183,185,189,191
162,06,000,01640,00000,00000,0,A,American Canyon city,California,19454,19542,19626,19859,20057,20299,20389,20466,20452
162,06,000,02000,00000,00000,0,A,Anaheim city,California,336265,336440,337235,340559,343053,344900,345698,349288,351043
162,06,000,02042,00000,00000,0,A,Anderson city,California,9932,9932,9942,10012,10058,10127,10205,10204,10232
162,06,000,02112,00000,00000,0,A,Angels city,California,3836,3836,3826,3793,3765,3748,3751,3768,3786
162,06,000,02252,00000,00000,0,A,Antioch city,California,102372,102745,103113,104260,105633,107411,109083,110189,110898
162,06,000,02364,00000,00000,0,A,Apple Valley town,California,69135,69139,69326,70089,70501,70875,71362,71980,72553
162,06,000,02462,00000,00000,0,A,Arcadia city,California,56364,56370,56409,56737,56981,57427,57742,58071,58523
162,06,000,02476,00000,00000,0,A,Arcata city,California,17231,17231,17502,17729,17710,17701,17712,17802,17974
162,06,000,02868,00000,00000,0,A,Arroyo Grande city,California,17252,17246,17271,17334,17515,17698,17872,18055,18097
162,06,000,02896,00000,00000,0,A,Artesia city,California,16522,16522,16524,16593,16659,16714,16793,16873,16874
162,06,000,02924,00000,00000,0,A,Arvin city,California,19304,19304,19352,19694,20093,20299,20548,20808,21086
