CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,Virtual,Magnet,Latitude,Longitude
4.31E+13,691035,11316,Closed,Santa Clara,Santa Clara County Office of Education,EDGE,258 Sunol Street MC 331,258 Sunol St. MC 331,San Jose,95126,CA,9/23/02,6/30/14,N,,,0,County Office of Education (COE),69,District Community Day Schools,COMMDAY,Community Day School,HS,High School,,,37.324874,-121.90609
4.31E+13,691035,11441,Closed,Santa Clara,Santa Clara County Office of Education,Leadership Public Schools - San Jose,1881 Cunningham Avenue,1881 Cunningham Ave.,San Jose,95122-1712,CA,8/25/04,8/31/16,Y,611,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,37.330395,-121.82878
4.31E+13,691035,11443,Closed,Santa Clara,Santa Clara County Office of Education,Pathfinder High,370-B South King Road,370-B South King Rd.,San Jose,95116,CA,8/24/05,1/31/07,Y,682,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,,,,
4.31E+13,691035,11790,Closed,Santa Clara,Santa Clara County Office of Education,Advent Community Day,1290 Ridder Park Drive MC 213,1290 Ridder Park Dr. MC 213,San Jose,95131-2304,CA,7/1/06,8/31/09,N,,,0,County Office of Education (COE),69,District Community Day Schools,COMMDAY,Community Day School,HS,High School,,,,
4.31E+13,691035,12185,Closed,Santa Clara,Santa Clara County Office of Education,South Bay Preparatory,1290 Ridder Park Drive MC 243,1290 Ridder Park Dr. MC 243,San Jose,95131,CA,9/21/09,6/30/10,Y,999,Directly funded,0,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,,,37.383703,-121.90134
4.31E+13,691035,12575,Closed,Santa Clara,Santa Clara County Office of Education,Magnolia Science Academy Santa Clara,14271 Story Road,14271 Story Rd.,San Jose,95127-3823,CA,8/16/10,6/30/16,Y,1116,Directly funded,0,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,N,N,37.359212,-121.8161
4.31E+13,691035,13000,Closed,Santa Clara,Santa Clara County Office of Education,Communitas Charter High,4849 Pearl Avenue,4849 Pearl Ave.,San Jose,95136,CA,8/22/12,6/30/13,Y,1325,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,,,37.261577,-121.86537
4.31E+13,691035,,Closed,Santa Clara,Santa Clara County Office of Education,Rocketship Nine Elementary,854 Sylvandale Avenue,854 Sylvandale Ave.,San Jose,95111,CA,4/5/13,4/5/13,Y,1505,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,,,,
4.31E+13,691035,13747,Closed,Santa Clara,Santa Clara County Office of Education,Rocketship 9 at Jackson,70 South Jackson Avenue,70 South Jackson Ave.,San Jose,95116,CA,8/19/14,8/19/14,Y,1629,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,,,37.357607,-121.84232
4.31E+13,691035,8630,Closed,Santa Clara,Santa Clara County Office of Education,Foundry Community Day,258 Sunol Street,258 Sunol St.,San Jose,95126,CA,7/1/99,8/31/09,N,,,0,County Office of Education (COE),69,District Community Day Schools,COMMDAY,Community Day School,HS,High School,,,,
