CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,OpenDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,Virtual,Magnet,Latitude,Longitude
4.31044E+13,691035,12016,Active,Santa Clara,Santa Clara County Office of Education,University Preparatory Academy Charter,2315 Canoas Garden Avenue,2315 Canoas Garden Ave.,San Jose,95125-2005,CA,8/20/07,Y,844,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,37.292255,-121.87392
4.31044E+13,691035,11864,Active,Santa Clara,Santa Clara County Office of Education,Rocketship Mateo Sheedy Elementary,788 Locust Street,788 Locust St.,San Jose,95110-2954,CA,8/1/07,Y,850,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.321396,-121.88667
4.31044E+13,691035,12198,Active,Santa Clara,Santa Clara County Office of Education,ACE Empower Academy,625 South Sunset Avenue,625 South Sunset Ave.,San Jose,95116-3423,CA,8/26/08,Y,972,Directly funded,0,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,N,N,37.348601,-121.8446
4.31044E+13,691035,12225,Active,Santa Clara,Santa Clara County Office of Education,Rocketship Si Se Puede Academy,2249 Dobern Avenue,2249 Dobern Ave.,San Jose,95116-3405,CA,8/31/09,Y,1061,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.352334,-121.83979
4.31044E+13,691035,12478,Active,Santa Clara,Santa Clara County Office of Education,Rocketship Los Suenos Academy,331 South 34th Street,331 South 34th St.,San Jose,95116-2905,CA,8/25/10,Y,1127,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.344865,-121.85163
4.31044E+13,691035,12827,Active,Santa Clara,Santa Clara County Office of Education,Downtown College Prep - Alum Rock,1776 Educational Park Drive,1776 Educational Park Dr.,San Jose,95122-1703,CA,8/24/11,Y,1268,Directly funded,0,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,N,N,37.366747,-121.85791
4.31044E+13,691035,12668,Active,Santa Clara,Santa Clara County Office of Education,Rocketship Discovery Prep,370 Wooster Street,370 Wooster St.,San Jose,95116-1095,CA,8/29/11,Y,1193,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.354204,-121.87005
4.31044E+13,691035,12625,Active,Santa Clara,Santa Clara County Office of Education,Summit Public School: Tahoma,285 Blossom Hill Road,285 Blossom Hill Rd.,San Jose,95123-2048,CA,8/22/11,Y,1282,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,37.252798,-121.81957
4.31044E+13,691035,12865,Active,Santa Clara,Santa Clara County Office of Education,Sunrise Middle,1149 East Julian Street,1149 East Julian St.,San Jose,95116-1005,CA,8/22/11,Y,1290,Directly funded,0,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,N,N,37.351173,-121.87284
4.31044E+13,691035,13073,Active,Santa Clara,Santa Clara County Office of Education,Rocketship Academy Brilliant Minds,2960 Story Road,2960 Story Rd.,San Jose,95127-3925,CA,8/15/12,Y,1393,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.355771,-121.81968
4.31044E+13,691035,13048,Active,Santa Clara,Santa Clara County Office of Education,Rocketship Alma Academy,198 West Alma Avenue,198 West Alma Ave.,San Jose,95110-3631,CA,8/15/12,Y,1394,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.31343,-121.87767
